id,nome,ano,sinopse,categoria
315,Demon Slayer: Mugen Train - O Filme,2020,"Tanjiro, Inosuke e Zenitsu são enviados pelo co...",Fantasia
316,O Senhor dos Anéis: O Retorno do Rei,2003,O confronto final entre as forças do bem e do m...,Ação
317,Toy Story 2,1999,"Quando Andy viaja para um acampamento de verão,...",Comédia
318,Corra Que a Polícia Vem Aí!,2025,Apenas um homem tem as habilidades necessárias ...,Policial
319,A Viagem de Chihiro,2001,Chihiro e seus pais estão se mudando para uma c...,Fantasia
320,O Menino e a Garça,2023,"Depois de perder a mãe durante a guerra, o jove...",Animação
321,Os Caras Malvados 2,2025,Os agora reformados Bad Guys estão tentando (mu...,Comédia
322,Angry Birds: O Filme,2016,"Red, um pássaro com problemas de temperamento, ...",Animação
323,O Monstro da Ilha,2025,Um grupo de caçadores viaja até uma misteriosa ...,Ação
324,Amor de Redenção,2022,"Califórnia, 1850. Angel, vendida como prostitut...",Romance
325,Lindas e Letais,2026,Um thriller repleto de ação no qual cinco baila...,Ação
326,Pânico,1996,"Após uma série de mortes misteriosas, um grupo ...",Terror
327,Viagem Maldita,2006,Viagem Maldita é a história de uma família em f...,Terror
328,Coração Partido,2026,"Polina, uma estudante do ensino médio, é salva ...",Drama
329,Todo Mundo em Pânico,2000,Depois do assassinato de uma bela colega de cla...,Comédia
330,Cães de Aluguel,1992,"Seis homens, completamente estranhos uns aos ou...",Policial
331,Sexo Sem Compromisso,2011,Para sair da fossa de seu último relacionamento...,Romance
332,365 Dias Finais,2022,A falta de confiança deixa a relação entre Laur...,Drama
333,Neon Genesis Evangelion: O Fim do Evangelho,1997,"Um final alternativo para a série de anime ""Neo...",Fantasia
334,O Labirinto do Fauno,2006,"Espanha, 1944. Ofelia se muda com sua mãe para ...",Fantasia
335,"Filhas, Deu Ruim!",2026,"Um problemão bate à sua porta, e Rekha precisa ...",Drama
336,Doze Homens e Outro Segredo,2004,Após o sucesso do roubo e de conseguir de volta...,Policial
337,A Nova Onda do Imperador,2000,Divirta-se com o arrogante imperador Kuzco que ...,Fantasia
338,Observadores,2021,Depois de se mudarem para um lindo apartamento ...,Suspense
339,Dia D,2026,A existência de vida extraterrestre torna-se um...,Ação
340,Lagoa Azul: O Despertar,2012,Dois adolescentes se conhecem durante uma festa...,Romance
341,"Meu Professor, Minha Obsessão",2018,"Depois de se transferir a uma nova escola, onde...",Drama
342,Cruella,2021,Na Londres dos anos 70 em meio à revolução do p...,Comédia
343,Wormtown,2025,Quando um culto que adora parasitas que alteram...,Ficção Científica
344,Aventuras nas Alturas,2026,"Durante a era de ouro da aviação, um jovem entu...",Drama
345,Zootopia 2,2025,Os detetives Judy Hopps e Nick Wilde se encontr...,Ação
346,O Resgate do Soldado Ryan,1998,"Ao desembarcar na Normandia, no dia 6 de junho ...",Drama
347,Minha Culpa,2023,"Noah é obrigada a mudar de cidade, deixando seu...",Drama
348,Uma Batalha Após a Outra,2025,"Bob, um revolucionário fracassado, vive chapado...",Comédia
349,Coraline e o Mundo Secreto,2009,"Entediada em sua nova casa, a pequena Coraline ...",Fantasia
350,Harry Potter e as Relíquias da Morte - Parte 2,2011,"No final épico, a batalha entre as forças do be...",Fantasia
351,Círculo de Fogo,2013,Criaturas monstruosas conhecidas como Kaiju com...,Ficção Científica
352,Maze Runner: Correr ou Morrer,2014,"Num cenário pós-apocalíptico, uma comunidade de...",Ação
353,Jumanji: Bem-Vindo à Selva,2017,Quatro adolescentes que estão de castigo depois...,Fantasia
354,Scarlet,2025,"Scarlet, uma princesa que falhou em vingar o as...",Animação
355,Batman Begins,2005,Marcado pelo assassinato de seus pais quando ai...,Policial
356,Shrek Para Sempre,2010,Shrek faz um pacto com Rumpelstiltskin para sen...,Fantasia
357,Missão: Impossível - O Acerto Final,2025,Depois de escapar de um acidente de trem calami...,Ação
358,Devoradores de Estrelas,2026,Professor de ciências do ensino fundamental aco...,Ficção Científica
359,O Protetor,2014,O ex-agente secreto Robert McCall acredita que ...,Suspense
360,Instinto Selvagem,1992,"Em São Francisco, um detetive de polícia trabal...",Suspense
361,A Proposta,2009,"Margaret Tate é uma poderosa editora de livros,...",Comédia
362,Sou Louco Por Você,2012,"Depois de passar dois anos em Londres, Hache es...",Romance
363,O Hobbit: Uma Jornada Inesperada,2012,"Como a maioria dos hobbits, Bilbo Bolseiro leva...",Fantasia
364,Percy Jackson e o Ladrão de Raios,2010,O adolescente Percy Jackson descobre que os deu...,Fantasia
365,Kong: A Ilha da Caveira,2017,Um ex-militar viaja com um grupo de desbravador...,Fantasia
366,Maze Runner: Prova de Fogo,2015,"Após escapar do labirinto, Thomas e os garotos ...",Suspense
367,Homem-Aranha: Através do Aranhaverso,2023,Miles Morales retorna para o próximo capítulo d...,Ação
368,Velozes & Furiosos 7,2015,"Após os acontecimentos em Londres, Dom, Brian, ...",Suspense
369,Brilho Eterno de uma Mente sem Lembranças,2004,Joel se surpreende ao saber que seu amor verdad...,Ficção Científica
370,O Diário da Princesa,2001,Mia (Anne Hathaway) é uma garota de 15 anos que...,Romance
371,Garfield - Fora de Casa,2024,"Garfield, o mundialmente famoso gato de interio...",Comédia
372,Aquaman 2: O Reino Perdido,2023,"Agora mais temível do que nunca, Arraia Negra d...",Fantasia
373,Avatar: Fogo e Cinzas,2025,Após a devastadora guerra contra a RDA e a perd...,Ficção Científica
374,A Era do Gelo,2002,"Vinte mil anos atrás, num mundo coberto de gelo...",Comédia
375,Mortal Kombat,1995,Escolhidos cuidadosamente e levados até uma mis...,Fantasia
376,Jurassic World: O Mundo dos Dinossauros,2015,Vinte e dois anos depois dos acontecimentos em ...,Ficção Científica
377,Kung Fu Panda 3,2016,"Em uma visita a uma vila secreta com o pai, Po ...",Animação
378,Extermínio: O Templo dos Ossos,2026,Dr. Kelson se vê envolvido num novo relacioname...,Ficção Científica
379,A Voz do Silêncio,2016,Nishimiya Shouko é uma estudante com deficiênci...,Animação
380,Laila,2025,"Sonu Model, um renomado cabeleireiro da cidade ...",Romance
381,Conta Comigo,1986,"Em uma pequena cidade do Oregon, quatro amigos ...",Policial
382,O Limite do Prazer,2023,Quando o recluso Franklin trai sua garota com u...,Suspense
383,Scarlet Innocence,2014,"Há 8 anos, professor da Universidade de Hak-Kyu...",Romance
384,Minions & Monstros,2026,O terceiro filme da série spin-off dos Minions ...,Comédia
385,Jogos Mortais,2004,Dois homens acordam acorrentados em um banheiro...,Terror
386,Kung Fu Panda,2008,Po é um panda que trabalha na loja de macarrão ...,Comédia
387,Aristogatas,1970,Uma milionária excêntrica pretende deixar toda ...,Animação
388,Oito Mulheres e um Segredo,2018,"Cinco anos, oito meses, 12 dias... em contagem ...",Policial
389,A Princesa Prometida,1987,A princesa Buttercup é raptada por uma bizarra ...,Fantasia
390,Vingadores: Guerra Infinita,2018,"Homem de Ferro, Thor, Hulk e os Vingadores se u...",Ação
391,A Empregada,2025,Millie é uma mulher passando por dificuldades q...,Suspense
392,Love,2015,Murphy é um americano vivendo em Paris que se e...,Romance
393,O Poderoso Chefão,1972,"Em 1945, Don Corleone é o chefe de uma mafiosa ...",Drama
394,Os Piratas,2014,Um bando de piratas e um grupo de bandidos luta...,Fantasia
395,Uma Cura de Outro Mundo,2025,"Durante a sua lua de mel, Nick encontra uma cri...",Terror
396,Onde os Fracos Não Têm Vez,2007,Quando um homem se depara com a sangrenta cena ...,Suspense
397,O Incrível Hulk,2008,"Vivendo escondido e longe de Betty Ross, a mulh...",Ficção Científica
398,Kung Fu Futebol Clube,2001,"Sing, que é adepto da prática do kung fu shaoli...",Comédia
399,A Chave,1983,Descoberta a admiração secreta de sua esposa pa...,Romance
400,Apenas uma noite,2014,O filme são 2 histórias:EnredoNight Bug (dir. p...,Romance
401,Patrulha Canina: Um Filme Superpoderoso,2023,"Um meteoro mágico cai em Adventure City, dá sup...",Animação
402,Angry Birds 2: O Filme,2019,Red e seus amigos dedicam a vida a proteger a I...,Animação
403,Bugonia,2025,Dois jovens obcecados por teorias da conspiraçã...,Ficção Científica
404,Encanto,2021,Uma garota chamada Mirabel Madrigal cresce como...,Comédia
405,A Era do Gelo 2,2006,O aquecimento global traz ameaças de inundações...,Comédia
406,Os Incríveis,2004,Beto Pêra e sua mulher Helena estavam entre os ...,Animação
407,Um Dia Fora de Controle,2025,Quando o contador desempregado Brian leva seu f...,Comédia
408,Força Bruta,2022,Ao cumprir uma extradição de um suspeito em out...,Policial
409,Grease: Nos Tempos da Brilhantina,1978,"Na Califórnia de 1959, a boa moça Sandy e o met...",Romance
410,Sex Weather,2018,Sydney e Darrel se conheceram enquanto trabalha...,Romance
411,Na Zona Cinzenta,2026,Dois especialistas em resgates embarcam na difí...,Ação
412,O Lado Bom de Ser Traída,2023,"Nesta adaptação do livro de Sue Hecker, uma con...",Romance
413,Jurassic World: Domínio,2022,"Quatro anos após a destruição da Ilha Nublar, o...",Ficção Científica
414,MIB - Homens de Preto,1997,"Kay e Jay, os Homens de Preto, são o maior segr...",Ficção Científica
415,Alice no País das Maravilhas,2010,"A Alice de 19 anos de idade, que regressa ao ex...",Fantasia
416,Esposa de Mentirinha,2011,"Infeliz em sua tentativa de casamento, Danny pa...",Romance
417,Corações Jovens,2024,Elias desenvolve sentimentos por seu novo vizin...,Romance
418,Homem-Aranha: No Aranhaverso,2018,Miles Morales é um jovem negro do Brooklyn que ...,Ação
419,O Pacto dos Lobos,2001,"Em 1765, durante o reinado de Luís XV, uma mist...",Ação
420,Let's Go To Rose Motel,2013,Seong Soo ainda não teve nenhum contato físico ...,Romance
421,Chappie,2015,"Em um futuro próximo, a África do Sul decidiu s...",Policial
422,Desejo e Reparação,2007,"Em 1935, no dia mais quente do ano na Inglaterr...",Romance
423,Frozen: Uma Aventura Congelante,2013,A destemida e otimista Anna sai em uma jornada ...,Fantasia
424,Tron: Ares,2025,Um programa de IA altamente avançado chamado Ar...,Ficção Científica
425,Intocáveis,2011,Quando um ex-presidiário é contratado para cuid...,Drama
426,Criaturas Extraordinariamente Brilhantes,2026,Uma viúva que trabalha como faxineira noturna e...,Drama
427,Anora,2024,"Anora, uma jovem profissional do sexo que traba...",Comédia
428,Eles Vão te Matar,2026,Uma mulher aceita um emprego como governanta em...,Ação
429,Antes do Amanhecer,1995,"Jesse (Ethan Hawke), um jovem americano, e Celi...",Romance
430,Boca de Fumo,2025,"Em El Paso, Texas, um agente disfarçado da Narc...",Suspense
431,O Enigma de Outro Mundo,1982,"Na remota Antártida, um grupo de cientistas ame...",Terror
432,Triplo X,2002,"O ex-atleta de esportes extremos Xander ""XXX"" C...",Ação
433,Céu e Inferno,1963,"Em um momento crucial de sua vida financeira, G...",Policial
434,O Mágico de Oz,1939,Dorothy e seu cachorro Totó são levados para a ...,Fantasia
435,O Macaco,2025,Dois irmãos gêmeos encontram um macaco de brinq...,Terror
436,Attack on Titan: O ÚLTIMO ATAQUE,2024,O filme reúne os dois últimos episódios da acla...,Animação
437,Temporada de Sangue,2025,Um pai solteiro fará de tudo para proteger sua ...,Ação
438,A Garota da Casa ao Lado,2007,"Estados Unidos, anos 50. Meg e Susan são duas i...",Drama
439,Justiça Artificial,2026,"Em um futuro próximo, um detetive é acusado de ...",Ficção Científica
440,A Vida é Bela,1997,"Durante a Segunda Guerra Mundial na Itália, o j...",Comédia
441,O Castelo Animado,2004,"Sophie, uma jovem chapeleira, é transformada em...",Fantasia
442,Aquaman,2018,"A cidade de Atlantis, que já foi lar de uma das...",Fantasia
443,Pecadores,2025,Dispostos a deixar suas vidas conturbadas para ...,Ação
444,Alice no País das Maravilhas,1951,Alice é uma garota curiosa e cansada da monoton...,Fantasia
445,Ninfomaniaca: Volume 2,2013,"Bastante machucada e largada em um beco, Joe (C...",Drama
446,Adoráveis Mulheres,2019,"As irmãs Jo, Beth, Meg e Amy amadurecem na vira...",Romance
447,Vingadores: Era de Ultron,2015,"Ao tentar proteger o planeta de ameaças, Tony S...",Ficção Científica
448,Baywatch: S.O.S. Malibu,2017,Quando uma perigosa onda de crime atinge o loca...,Policial
449,A Única Saída,2025,Um homem é demitido da empresa de papel onde tr...,Suspense
450,Eu Sou a Lenda,2007,Robert Neville é um brilhante cientista e o úni...,Ficção Científica
451,Guardiões da Galáxia: Vol. 3,2023,"Peter Quill, que ainda está se recuperando da p...",Ficção Científica
452,Versa,2025,"Um jovem casal vivencia uma gama de emoções, do...",Animação
453,Invocação do Mal 3: A Ordem do Demônio,2021,Um dos casos mais sensacionais de seus arquivos...,Terror
454,O Predador: A Caçada,2022,"Ambientado há 300 anos na Nação Comanche, esta ...",Ficção Científica
455,Uma Sexta-Feira Mais Louca Ainda,2025,A história continua anos depois de Tess e Anna ...,Fantasia
456,A Bela e a Fera,1991,"Em uma pequena aldeia da França vive Belle, uma...",Fantasia
457,A Saga Crepúsculo: Eclipse,2010,Bella mais uma vez encontra-se rodeada pelo per...,Romance
458,Perdido em Marte,2015,O astronauta Mark Watney é enviado a uma missão...,Ficção Científica
459,Deadpool & Wolverine,2024,Um apático Wade Wilson trabalha duro na vida ci...,Ação
460,Os Caras Malvados,2022,Nunca houve cinco amigos tão infames quanto Os ...,Policial
461,Normal,2026,"O xerife interino Ulysses, chamado à cidade iso...",Ação
462,The Sleeper,2025,Ferman é um assassino de sangue frio que elimin...,Suspense
463,O Diabo Veste Prada,2006,Andrea Sachs é uma jovem que conseguiu um empre...,Drama
464,F1: O Filme,2025,"Sonny Hayes, a lenda do automobilismo, é persua...",Ação
465,Os Sem-Floresta,2006,"A primavera chegou, o que faz com que os animai...",Animação
466,Taxi Driver: Motorista de Táxi,1976,Veterano de guerra mentalmente instável trabalh...,Policial
467,Drácula - Uma História de Amor Eterno,2025,"No século XV, o príncipe Vlad II perde o seu am...",Terror
468,Avatar,2009,"Apesar de não ter mais os movimentos da perna, ...",Ação
469,Aves de Rapina: Arlequina e sua Emancipação Fantabulosa,2020,"Arlequina, Canário Negro, Caçadora, Cassandra C...",Policial
470,Família do Bagulho,2013,Um traficante é forçado por seu chefe a ir ao M...,Policial
471,Harry Potter e o Prisioneiro de Azkaban,2004,É o início do terceiro ano na escola de magia e...,Fantasia
472,Malévola,2014,Motivada por vingança e o desejo feroz de prote...,Fantasia
473,Harry Potter e o Enigma do Príncipe,2009,À medida que Lord Voldemort aumenta seu control...,Fantasia
474,Diário Proibido,2008,Valére (Belén Fabra) é uma jovem empresária de ...,Romance
475,Kung Fu Panda 2,2011,"Po vive o sonho de ser o dragão guerreiro, prot...",Animação
476,"Boa Sorte, Divirta-se, Não Morra",2026,Um homem vindo do futuro chega a uma lanchonete...,Ficção Científica
477,Thor: O Mundo Sombrio,2013,Thor precisa contar com a ajuda de seus companh...,Fantasia
478,Patos!,2023,A família Mallard está um pouco refém da rotina...,Comédia
479,Miraculous: As Aventuras de Ladybug - O Filme,2023,"Marinette Dupain-Cheng, de dezesseis anos, está...",Animação
480,Um Sonho de Liberdade,1994,"Em 1946, Andy Dufresne, um banqueiro jovem e be...",Drama
481,Divertida Mente,2015,"Quando Riley, de 11 anos, se muda para uma nova...",Drama
482,De Volta para o Futuro,1985,"Marty McFly, um típico adolescente americano do...",Ficção Científica
483,O Senhor dos Anéis: A Sociedade do Anel,2001,"Após herdar um anel de seu tio, o hobbit Frodo ...",Ação
484,Tudo em Todo o Lugar ao Mesmo Tempo,2022,Uma imigrante chinesa parte rumo a uma aventura...,Ficção Científica
485,Animal,2023,"Após morar anos no exterior, um filho impassíve...",Policial
486,Meu Amigo Robô,2023,"Dog mora em Nova York e, cansado de ficar sozin...",Animação
487,Mother Mary,2026,Feridas antigas reabrem quando a icônica estrel...,Suspense
488,Transformers: O Despertar das Feras,2023,Optimus Prime e os Autobots enfrentam seu maior...,Ficção Científica
489,Os Estranhos: Capítulo Final,2026,Maya enfrenta os assassinos mascarados uma últi...,Terror
490,Destruição Final: O Último Refúgio,2020,Quando cientistas descobrem que um cometa ating...,Ficção Científica
491,Cidade de Deus,2002,Buscapé é um jovem morador da Cidade de Deus qu...,Policial
492,Star Wars: Os Últimos Jedi,2017,A tranquila e solitária vida de Luke Skywalker ...,Ficção Científica
493,Uma Segunda Chance,2026,Kenna comete um erro imperdoável que a leva à p...,Drama
494,Longlegs - Vínculo Mortal,2024,A agente do FBI Lee Harker é designada para o c...,Policial
495,Doce Vingança,2010,A escritora Jennifer aluga uma cabana isolada p...,Terror
496,Trem-Bala,2022,5 assassinos da máfia japonesa se encontram à b...,Suspense
497,Pink Floyd: The Wall,1982,"A história é sobre Pink, um astro do rock and r...",Drama
498,Eu & Você na Toscana,2026,Depois de perder o emprego e o apartamento no m...,Romance
499,Hit Para Dois,2026,"Rick, um cantor de casamentos, apresenta uma de...",Comédia
500,O Poderoso Chefinho 2: Negócios da Família,2021,Em O Poderoso Chefinho 2 acompanha novamente os...,Animação
501,Os Simpsons: O Filme,2007,Homer deve salvar o mundo de uma catástrofe que...,Animação
502,As Aventuras de Tintim,2011,Tintim é um jovem repórter que tem um histórico...,Animação
503,Os Sonhadores,2003,"Em meio a tumultos políticos, três estudantes s...",Romance
504,Acompanhante Perfeita,2025,"Josh e Iris parecem ser o casal ideal, até que ...",Ficção Científica
505,Transformers: O Início,2024,Veja a história não contada da origem de Optimu...,Animação
506,Aladdin,2019,"Um jovem humilde descobre uma lâmpada mágica, c...",Fantasia
507,O Justiceiro: Uma Última Morte,2026,Enquanto Frank Castle busca um significado além...,Ação
508,Whiplash: Em Busca da Perfeição,2014,Andrew sonha em ser o melhor baterista de sua g...,Drama
509,Blade: O Caçador de Vampiros,1998,Após ser contaminado pelo sangue de uma criatur...,Terror
510,O Grande Truque,2006,"No século 19, em Londres, dois amigos ilusionis...",Ficção Científica
511,Cinquenta Tons de Liberdade,2018,"Superados os principais problemas, Anastasia e ...",Drama
512,Sorria,2022,Após testemunhar um acidente traumático e bizar...,Terror
513,Um Quarto em Roma,2010,Um quarto de hotel no centro de Roma serve de p...,Drama
514,Blade Runner: O Caçador de Andróides,1982,"No início do século 21, uma grande corporação d...",Ficção Científica
515,A Longa Marcha: Caminhe ou Morra,2025,Um grupo de adolescentes compete em uma competi...,Terror
516,Não Entre,2026,Um grupo de exploradores investiga um antigo ho...,Terror
517,A Casa de Verão,2026,"Selin, 21 anos, de repente volta para o verão d...",Drama
518,O Jogo da Imitação,2014,"Em 1939, a recém-criada agência de inteligência...",Suspense
519,Vingadores: Doutor Destino,2026,"Os Vingadores, Wakandanos, Quarteto Fantástico,...",Ficção Científica
520,Vivo ou Morto: Um Mistério Knives Out,2025,O detetive Benoit Blanc conta com a ajuda de um...,Comédia
521,O Menu,2022,Um casal viaja para uma ilha costeira para come...,Terror
522,Fogo Contra Fogo,1995,O ladrão obsessivo Neil McCauley lidera uma equ...,Policial
523,Top Gun - Ases Indomáveis,1986,A escola naval de pilotos é onde o melhor dos m...,Romance
524,Star Wars: A Ascensão Skywalker,2019,"Com o retorno do Imperador Palpatine, todos vol...",Ficção Científica
525,Por Cima do seu Cadáver,2026,Uma comédia de humor ácido com um toque de susp...,Ação
526,Kraven: O Caçador,2024,"Sergei Kravinoff é um grande caçador, que toma ...",Suspense
527,Thor,2011,"Como filho de Odin, rei dos deuses nórdicos, Th...",Fantasia
528,Valente,2012,Merida é uma arqueira talentosa e a filha obsti...,Fantasia
529,Era Uma Vez na América,1984,Depois de crescer no gueto judeu de Nova Iorque...,Drama
530,Solo Mio,2026,Com o coração partido em Roma após um desastre ...,Romance
531,O Corcunda de Notre Dame,1996,"Quasimodo, um corcunda, vive uma vida isolada. ...",Animação
532,Signal One,2026,Uma cientista da computação é recrutada por um ...,Ficção Científica
533,Capitão América: Guerra Civil,2016,"Depois do ataque de Ultron, os políticos decide...",Ficção Científica
534,O Príncipe do Egito,1998,"No Egito antigo, quando os hebreus lá viviam co...",Animação
535,Trainspotting: Sem Limites,1996,"Em Edimburgo, na Escócia, vive Renton, um jovem...",Policial
536,12 Homens e uma Sentença,1957,Um jovem porto-riquenho é acusado do brutal cri...,Drama
537,Viva: A Vida é uma Festa,2017,Apesar da desconcertante proibição da música im...,Animação
538,Robô Selvagem,2024,"Um robô – unidade ROZZUM 7134, abreviadamente “...",Ficção Científica
539,SISU: Estrada da Vingança,2025,Um explosivo evento de ação sequência de SISU. ...,Suspense
540,Deva,2025,Um policial jovem e obstinado pega um caso comp...,Policial
541,Elio,2025,"Elio, um garoto oprimido com uma imaginação fér...",Animação
542,Blush,2021,Um astronauta solitário cai em um planeta desol...,Fantasia
543,Cada Um na Sua Casa,2015,O planeta Terra foi invadido por seres extra-te...,Animação
544,007: Cassino Royale,2006,Depois de obter o status 00 e uma licença para ...,Suspense
545,Alien: O Oitavo Passageiro,1979,Quando a tripulação da sonda espacial Nostromo ...,Ficção Científica
546,Preparada para a Guerra,2025,Cinco anos após uma ruptura na realidade trazer...,Ação
547,Saída: Fuga em Seul,2019,Embora tenha sido um grande alpinista na faculd...,Comédia
548,Prometheus,2012,Uma equipe de cientistas embarca em uma jornada...,Terror
549,Peaky Blinders: O Homem Imortal,2026,Após o envolvimento do filho em um complô nazis...,Drama
550,Extraordinário,2017,Auggie Pullman é um garoto que nasceu com uma d...,Drama
551,Almôndegas,1979,Um instrutor de uma colônia de férias (Bill Mur...,Comédia
552,A Rocha,1996,"Um general, herói na Guerra do Vietnã, e seus c...",Suspense
553,Con Air: A Rota da Fuga,1997,Cameron Poe conquistou a liberdade condicional ...,Policial
554,Todas as Coisas São Belas,1995,"Aos 15 anos, um rapaz se envolve com sua profes...",Drama
555,A Bela e a Fera,2017,"Moradora de uma pequena aldeia francesa, Bela t...",Fantasia
556,Jack Ryan de Tom Clancy: Guerra Fantasma,2026,"Neste novo filme, Jack Ryan volta ao mundo da e...",Ação
557,Divertida Mente 2,2024,"""Divertida Mente 2"", da Disney e da Pixar, reto...",Comédia
558,Pânico na Floresta: A Fundação,2021,Um grupo de amigos de Nova Iorque fazem uma via...,Terror
559,Que Horas Eu Te Pego?,2023,Uma jovem falida é contratada para namorar um a...,Romance
560,Scarface,1983,Após receber residência permanente nos EUA em t...,Policial
561,Tróia,2004,"Quando Páris, o príncipe de Troia, se apaixona ...",Ação
562,Velozes & Furiosos 8,2017,"Depois que Brian e Mia se aposentaram, e o rest...",Policial
563,Beast,2026,Um pescador comercial que luta para sustentar a...,Ação
564,(500) Dias com Ela,2009,Um romântico escritor se surpreende quando sua ...,Romance
565,A Noiva!,2026,"Na década de 1930, Frankenstein viaja a Chicago...",Ficção Científica
566,Show de Vizinha,2004,O bom aluno e formando Matthew Kidman tem plano...,Comédia
567,Inatividade Paranormal 2,2014,Malcolm (Marlon Wayans) está tentando reiniciar...,Terror
568,Bolt: Supercão,2008,Bolt é o astro do maior e mais divertido show d...,Animação
569,Zodíaco,2007,"Durante os anos 60 e 70, o medo aumenta em São ...",Policial
570,Mad Max: Estrada da Fúria,2015,"Em um mundo apocalíptico, Max Rockatansky acred...",Ficção Científica
571,Psicose,1960,Marion Crane é uma secretária que rouba 40 mil ...,Terror
572,Liga da Justiça de Zack Snyder,2021,Determinado a garantir que o sacrifício final d...,Fantasia
573,O Império dos Sentidos,1976,A história de uma ex-prostituta que envolve-se ...,Romance
574,Midsommar: O Mal Não Espera a Noite,2019,Dani e Christian formam um jovem casal american...,Terror
575,Juntos,2025,O que poderia ser uma oportunidade para recomeç...,Romance
576,Toy Story 3,2010,"Woody, Buzz e o resto dos brinquedos de Andy nã...",Comédia
577,Minions 2: A Origem de Gru,2022,"A continuação das aventuras dos Minions, sempre...",Policial
578,A Pequena Sereia,2023,Ariel é uma curiosa sereia que deseja experimen...,Fantasia
579,Anaconda,2025,Uma crise de meia-idade inspira Doug e Griff a ...,Terror
580,Star Wars: Episódio I - A Ameaça Fantasma,1999,"Enquanto resgatam a Rainha Amidala, governante ...",Ficção Científica
581,A Odisseia,2026,"Acompanhe a saga de Odisseu, o lendário rei de ...",Ação
582,Shrek Terceiro,2007,"O rei Harold, pai de Fiona, morre repentinament...",Fantasia
583,Bad Boys Para Sempre,2020,Marcus Burnett agora é um inspetor e Mike Lowre...,Policial
584,Zona Zero,2026,"Durante uma Conferência de Biotecnologia, o que...",Ação
585,After,2019,"Tessa Young é uma jovem com uma vida simples, ó...",Drama
586,Lego Batman: O Filme,2017,"No spin-off de Uma Aventura Lego, Batman (Will ...",Animação
587,WALL-E,2008,"No ano 2800, num planeta Terra devastado e sem ...",Ficção Científica
588,Kill Bill: Volume 1,2003,"A ex-assassina conhecida apenas como ""A Noiva"" ...",Policial
589,A Era do Gelo: As Aventuras de Buck,2022,As peripécias hilárias dos mamíferos pré-histór...,Animação
590,Dhurandhar,2025,"No início da década de 2000, um policial se inf...",Ação
591,Assassinos da Lua das Flores,2023,"Na década de 1920, em Oklahoma, o povo da tribo...",Policial
592,It: A Coisa,2017,"Na cidade de Derry, no Maine, sete jovens se ju...",Terror
593,Uma Ideia de Você,2024,"Solène, leva a filha, para assistir ao show de ...",Comédia
594,Ted 2,2015,O urso de pelúcia Ted casa-se com Tami-Lynn. O ...,Comédia
595,No Amor e Na Música,2025,"Vaani e Krish terão que lidar com a vida, seus ...",Drama
596,Os Incríveis 2,2018,Helena é chamada para liderar uma campanha para...,Animação
597,Além do Dever,2026,Com a segurança da família em risco e diante de...,Drama
598,A Garota do Adeus,1977,"Depois de ser abandonada por seu namorado, uma ...",Romance
599,I Love Boosters,2026,Um grupo destemido de jovens mulheres criativas...,Policial
600,Assassinato no Expresso do Oriente,2017,Várias pessoas estão fazendo uma viagem longa e...,Policial
601,Sobrenatural,2011,Josh e Renai se mudam com a família para uma ca...,Terror
602,Irreversível,2002,"O filme narra, de trás para frente, a história ...",Drama
603,A Barraca do Beijo,2018,O primeiro beijo de Elle vira um romance proibi...,Romance
604,Esqueceram de Mim 2: Perdido em Nova York,1992,"Garoto se vê novamente sozinho, quando em virtu...",Comédia
605,Eternidade,2025,"Numa vida após a morte, onde as almas têm uma s...",Romance
606,Shazam!,2019,"Billy Batson tem apenas 14 anos de idade, mas r...",Fantasia
607,Diário de um Adolescente,1995,"Jim Carrol sonha em ser um astro do basquete, m...",Policial
608,Kill Bill: Volume 2,2004,"Após ser traída por Bill e seu antigo grupo, a ...",Policial
609,Os Mercenários 4,2023,A equipe enfrenta um traficante de armas que co...,Suspense
610,A Era do Gelo 4,2012,"Sempre em busca de sua cobiçada noz, o esquilo ...",Comédia
611,Infidelidade,2002,"Num subúrbio de Nova York, Connie Sumner (Diane...",Drama
612,O Afinador,2026,Niki é um afinador de pianos talentoso treinado...,Suspense
613,Invocação do Mal 2,2016,Lorraine e Ed Warren ajudam uma mãe solteira a ...,Terror
614,Solo Leveling -Segundo Despertar-,2024,Mais de uma década após o surgimento dos “portõ...,Fantasia
615,After: Depois do Desencontro,2021,Embora a história de amor entre Tessa Young e H...,Drama
616,Michael Jackson: Searching for Neverland,2017,O que aconteceu com Michael Jackson? Esta é a h...,Drama
617,Os Bad Boys II,2003,Os detetives da Narcóticos Marcus Burnett e Mik...,Policial
618,Plano em Família,2023,"Dan Morgan é muitas coisas: um marido dedicado,...",Comédia
619,"Boa Sorte, Leo Grande",2022,"Em Boa Sorte, Leo Grande, Nancy Stokes é uma pr...",Romance
620,Cruzada,2005,Ainda em luto pela repentina morte de sua espos...,Drama
621,Moonwalker,1988,Mr. Big é um poderoso traficante de drogas que ...,Fantasia
622,A Caminho do Verão,2022,"No verão antes da faculdade, a estudiosa Auden ...",Romance
623,Destruição Final 2,2026,Tendo encontrado a segurança do bunker da Groen...,Ficção Científica
624,How to Have Sex,2023,Três adolescentes britânicas vão de férias para...,Drama
625,Oldboy,2003,Dae-Su é raptado e mantido em cativeiro por 15 ...,Suspense
626,A Centopéia Humana,2009,O filme relata uma viagem de duas jovens americ...,Terror
