id,nome,ano,sinopse,categoria
72,IT: Capítulo Dois,2019,Vinte e sete anos após o Clube dos Otários derr...,Terror
73,Pobres Criaturas,2023,A jovem Bella Baxter é trazida de volta à vida ...,Ficção Científica
74,Ratatouille,2007,"Remy, morador de Paris, aprecia boa comida e te...",Comédia
75,O Senhor dos Anéis: As Duas Torres,2002,"Após a captura de Merry e Pippin pelos orcs, a ...",Ação
76,O Primata,2026,A universitária Lucy vai passar férias em casa ...,Terror
77,À Espera de um Milagre,1999,"Milagres acontecem em lugares inesperados, mesm...",Drama
78,Tubarão,1975,Um terrível ataque a banhistas é o sinal de que...,Terror
79,Enrolados,2010,"O bandido mais procurado do reino, Flynn Rider,...",Animação
80,Crepúsculo,2008,Isabella Swan é uma adolescente que vai morar c...,Drama
81,Lift: Roubo nas Alturas,2024,Um ladrão profissional e sua equipe tentam faze...,Policial
82,Pulp Fiction: Tempo de Violência,1994,Vincent Vega e Jules Winnfield são dois assassi...,Comédia
83,Forrest Gump: O Contador de Histórias,1994,"Quarenta anos da história dos Estados Unidos, v...",Drama
84,A Serbian Film - Terror sem Limites,2010,"Milos (Srdjan Todorovic), um ator pornô aposent...",Terror
85,Batman,1989,"Em Gotham City o milionário Bruce Wayne, que qu...",Policial
86,Exhuma,2024,Depois de sofrer uma série de eventos paranorma...,Terror
87,Na Rota do Crime,2026,Após descobrir um plano para transportar gado r...,Suspense
88,Até o Último Homem,2016,"Desmond T. Doss, foi o médico do Exército Ameri...",Drama
89,Se Não Fosse Você,2025,Morgan Grant e sua filha Clara precisam lidar c...,Romance
90,Babygirl,2024,Romy é uma executiva que conquistou seu posto c...,Romance
91,Entre Facas e Segredos,2019,"Após comemorar 85 anos de idade, o famoso escri...",Policial
92,Cinquenta Tons de Cinza,2015,Anastasia Steele (Dakota Johnson) é uma estudan...,Drama
93,A Queda,2022,Becky e Hunter são duas amigas que buscam avent...,Suspense
94,As Branquelas,2004,O que acontece quando dois atrapalhados agentes...,Comédia
95,Megamente,2010,Tudo o que vilão Megamente mais queria era elim...,Animação
96,Senario XX,2005,Um alienígena cai acidentalmente em uma pequena...,Comédia
97,Do Deewane Seher Mein,2026,Dois millennials socialmente desajeitados em Mu...,Romance
98,Advogado do Diabo,1997,"Kevin Lomax, advogado de uma pequena cidade da ...",Terror
99,Casablanca,1943,"Durante a Segunda Guerra Mundial, muitos fugiti...",Romance
100,Faces da Morte,2026,VOCÊ NÃO CONSEGUE DESVER ISSO. Uma moderadora d...,Terror
101,A Chegada,2016,Quando seres interplanetários deixam marcas na ...,Ficção Científica
102,Meu Querido Assassino,2026,"Perseguida por ter um tipo sanguíneo raro, uma ...",Ação
103,Bailarina: Do Universo de John Wick,2025,Bailarina se passa durante os eventos de ‘John ...,Ação
104,A Era do Gelo: Mundo de Lava,2027,Uma aventura alucinante repleta de dinossauros ...,Comédia
105,Jurassic World: Recomeço,2025,Cinco anos após os eventos de Jurassic World: D...,Ação
106,Bob Esponja: O Filme,2004,"Após a coroa do Rei Netuno ser roubada, Bob Esp...",Fantasia
107,Sicario: Terra de Ninguém,2015,Na crescente fronteira sem lei entre os Estados...,Policial
108,Força Bruta: Sem Saída,2023,O detetive Ma Seok-do investiga um caso de assa...,Policial
109,Holocausto Canibal,1980,O filme conta a história de quatro documentaris...,Terror
110,Terror em Silent Hill: Regresso Para o Inferno,2026,Quando uma carta misteriosa chama James de volt...,Drama
111,Batman vs Superman: A Origem da Justiça,2016,Temendo que as ações de um super-herói divino n...,Fantasia
112,Território Virgem,2007,"No século XIV, Pampinea é a filha única de uma ...",Comédia
113,Amnésia,2000,Leonard está caçando o homem que estuprou e mat...,Suspense
114,Oscar Shaw,2026,"Depois de se aposentar da polícia, um detetive ...",Policial
115,Conspiração Fatal,2022,"Davi Martins, um diretor comercial de uma insti...",Terror
116,Jogo Sujo,2025,Um ladrão profissional se lança no maior roubo ...,Suspense
117,Branca de Neve e os Sete Anões,1938,A rainha malvada morre de ciúmes da beleza de B...,Fantasia
118,Hellfire,2026,Um andarilho com um passado misterioso chega a ...,Suspense
119,O Poderoso Chefão: Parte II,1974,"Após a máfia matar sua família, o jovem Vito fo...",Drama
120,Piratas do Caribe: A Vingança de Salazar,2017,"O Capitão Jack, que anda passando por uma onda ...",Fantasia
121,Clube da Luta,1999,Um homem deprimido que sofre de insônia conhece...,Drama
122,O Fim da Escuridão,2010,Thomas (Mel Gibson) é um detetive policial que ...,Suspense
123,Homem-Aranha: Um Novo Dia,2026,Quatro anos se passaram desde os eventos de Sem...,Ação
124,Marsupilami: Confusão a Bordo,2026,"Para salvar seu emprego no zoológico, David ace...",Comédia
125,A Linha da Extinção,2024,A humanidade foi destruída por bestas alienígen...,Ação
126,Crônicas Sexuais de uma Família Francesa,2012,A celebração da sexualidade em três gerações. G...,Romance
127,Aliens: O Resgate,1986,"Cinquenta e quatro anos após escapar da ""Nostro...",Suspense
128,Deadpool 2,2018,Quando o super soldado Cable chega em uma missã...,Comédia
129,Os Bons Companheiros,1990,"A história real de Henry Hill, um garoto meio i...",Drama
